NL_iteration       Ham error [%]       Mom error [%]
0                   9.901747e+01        1.000000e+02        
1                   1.154864e+00        9.362628e+00        
2                   8.304645e-02        9.360112e+00        
3                   8.256789e-02        9.359841e+00        
4                   8.211094e-02        9.359841e+00        
5                   8.166562e-02        9.359841e+00        
6                   8.123089e-02        9.359841e+00        
7                   8.080613e-02        9.359841e+00        
8                   8.039081e-02        9.359841e+00        
9                   7.998444e-02        9.359841e+00        
10                  7.958658e-02        9.359841e+00        
11                  7.919683e-02        9.359841e+00        
12                  7.881481e-02        9.359841e+00        
13                  7.844018e-02        9.359841e+00        
14                  7.807263e-02        9.359841e+00        
15                  7.771186e-02        9.359841e+00        
16                  7.735759e-02        9.359840e+00        
17                  7.700956e-02        9.359840e+00        
18                  7.666753e-02        9.359840e+00        
19                  7.633127e-02        9.359840e+00        
20                  7.600056e-02        9.359840e+00        
21                  7.567519e-02        9.359840e+00        
22                  7.535499e-02        9.359840e+00        
23                  7.503975e-02        9.359840e+00        
24                  7.472932e-02        9.359840e+00        
25                  7.442352e-02        9.359840e+00        
26                  7.412220e-02        9.359840e+00        
27                  7.382521e-02        9.359840e+00        
28                  7.353240e-02        9.359840e+00        
29                  7.324365e-02        9.359840e+00        
30                  7.295882e-02        9.359840e+00        
31                  7.267780e-02        9.359840e+00        
32                  7.240046e-02        9.359840e+00        
33                  7.212669e-02        9.359840e+00        
34                  7.185638e-02        9.359840e+00        
35                  7.158944e-02        9.359840e+00        
36                  7.132576e-02        9.359840e+00        
37                  7.106525e-02        9.359840e+00        
38                  7.080782e-02        9.359840e+00        
39                  7.055338e-02        9.359840e+00        
40                  7.030185e-02        9.359840e+00        
41                  7.005315e-02        9.359840e+00        
42                  6.980720e-02        9.359840e+00        
43                  6.956394e-02        9.359840e+00        
44                  6.932328e-02        9.359840e+00        
45                  6.908516e-02        9.359840e+00        
46                  6.884952e-02        9.359840e+00        
47                  6.861628e-02        9.359840e+00        
48                  6.838540e-02        9.359840e+00        
49                  6.815682e-02        9.359840e+00        
50                  6.793047e-02        9.359840e+00        
51                  6.770630e-02        9.359840e+00        
52                  6.748426e-02        9.359840e+00        
53                  6.726430e-02        9.359840e+00        
54                  6.704637e-02        9.359840e+00        
55                  6.683043e-02        9.359840e+00        
56                  6.661642e-02        9.359840e+00        
57                  6.640430e-02        9.359840e+00        
58                  6.619404e-02        9.359839e+00        
59                  6.598559e-02        9.359839e+00        
60                  6.577891e-02        9.359839e+00        
61                  6.557396e-02        9.359839e+00        
62                  6.537071e-02        9.359839e+00        
63                  6.516911e-02        9.359839e+00        
64                  6.496914e-02        9.359839e+00        
65                  6.477076e-02        9.359839e+00        
66                  6.457394e-02        9.359839e+00        
67                  6.437864e-02        9.359839e+00        
68                  6.418484e-02        9.359839e+00        
69                  6.399251e-02        9.359839e+00        
70                  6.380161e-02        9.359839e+00        
71                  6.361212e-02        9.359839e+00        
72                  6.342402e-02        9.359839e+00        
73                  6.323727e-02        9.359839e+00        
74                  6.305184e-02        9.359839e+00        
75                  6.286773e-02        9.359839e+00        
76                  6.268489e-02        9.359839e+00        
77                  6.250331e-02        9.359839e+00        
78                  6.232297e-02        9.359839e+00        
79                  6.214383e-02        9.359839e+00        
80                  6.196589e-02        9.359839e+00        
81                  6.178912e-02        9.359839e+00        
82                  6.161349e-02        9.359839e+00        
83                  6.143900e-02        9.359839e+00        
84                  6.126561e-02        9.359839e+00        
85                  6.109332e-02        9.359839e+00        
86                  6.092210e-02        9.359839e+00        
87                  6.075193e-02        9.359839e+00        
88                  6.058280e-02        9.359839e+00        
89                  6.041469e-02        9.359839e+00        
90                  6.024758e-02        9.359839e+00        
91                  6.008146e-02        9.359839e+00        
92                  5.991631e-02        9.359839e+00        
93                  5.975212e-02        9.359839e+00        
94                  5.958887e-02        9.359839e+00        
95                  5.942655e-02        9.359839e+00        
96                  5.926514e-02        9.359839e+00        
97                  5.910463e-02        9.359839e+00        
98                  5.894500e-02        9.359839e+00        
99                  5.878624e-02        9.359839e+00        
