NL_iteration       Ham error [%]       Mom error [%]
0                   1.000000e+02        9.999776e+01        
1                   2.955847e+00        6.128656e+00        
2                   5.590935e-03        6.095300e+00        
3                   2.693857e-03        6.094698e+00        
4                   2.691057e-03        6.094697e+00        
5                   2.688266e-03        6.094697e+00        
6                   2.685484e-03        6.094697e+00        
7                   2.682710e-03        6.094697e+00        
8                   2.679944e-03        6.094697e+00        
9                   2.677187e-03        6.094697e+00        
10                  2.674438e-03        6.094697e+00        
11                  2.671698e-03        6.094697e+00        
12                  2.668966e-03        6.094697e+00        
13                  2.666242e-03        6.094697e+00        
14                  2.663526e-03        6.094697e+00        
15                  2.660818e-03        6.094697e+00        
16                  2.658118e-03        6.094697e+00        
17                  2.655427e-03        6.094697e+00        
18                  2.652743e-03        6.094697e+00        
19                  2.650067e-03        6.094697e+00        
20                  2.647400e-03        6.094697e+00        
21                  2.644740e-03        6.094697e+00        
22                  2.642087e-03        6.094696e+00        
23                  2.639443e-03        6.094696e+00        
24                  2.636806e-03        6.094696e+00        
25                  2.634177e-03        6.094696e+00        
26                  2.631556e-03        6.094696e+00        
27                  2.628942e-03        6.094696e+00        
28                  2.626336e-03        6.094696e+00        
29                  2.623737e-03        6.094696e+00        
30                  2.621146e-03        6.094696e+00        
31                  2.618562e-03        6.094696e+00        
32                  2.615985e-03        6.094696e+00        
33                  2.613416e-03        6.094696e+00        
34                  2.610854e-03        6.094696e+00        
35                  2.608300e-03        6.094696e+00        
36                  2.605752e-03        6.094696e+00        
37                  2.603212e-03        6.094696e+00        
38                  2.600679e-03        6.094696e+00        
39                  2.598153e-03        6.094696e+00        
40                  2.595634e-03        6.094696e+00        
41                  2.593122e-03        6.094696e+00        
42                  2.590618e-03        6.094696e+00        
43                  2.588120e-03        6.094696e+00        
44                  2.585629e-03        6.094696e+00        
45                  2.583145e-03        6.094696e+00        
46                  2.580667e-03        6.094696e+00        
47                  2.578197e-03        6.094696e+00        
48                  2.575733e-03        6.094696e+00        
49                  2.573276e-03        6.094696e+00        
50                  2.570826e-03        6.094696e+00        
51                  2.568383e-03        6.094696e+00        
52                  2.565946e-03        6.094696e+00        
53                  2.563515e-03        6.094696e+00        
54                  2.561092e-03        6.094696e+00        
55                  2.558674e-03        6.094696e+00        
56                  2.556264e-03        6.094696e+00        
57                  2.553859e-03        6.094696e+00        
58                  2.551462e-03        6.094696e+00        
59                  2.549070e-03        6.094696e+00        
60                  2.546685e-03        6.094696e+00        
61                  2.544306e-03        6.094696e+00        
62                  2.541934e-03        6.094696e+00        
63                  2.539568e-03        6.094696e+00        
64                  2.537208e-03        6.094696e+00        
65                  2.534854e-03        6.094696e+00        
66                  2.532506e-03        6.094696e+00        
67                  2.530165e-03        6.094696e+00        
68                  2.527829e-03        6.094696e+00        
69                  2.525500e-03        6.094696e+00        
70                  2.523177e-03        6.094696e+00        
71                  2.520859e-03        6.094696e+00        
72                  2.518548e-03        6.094696e+00        
73                  2.516243e-03        6.094696e+00        
74                  2.513943e-03        6.094696e+00        
75                  2.511650e-03        6.094696e+00        
76                  2.509362e-03        6.094696e+00        
77                  2.507080e-03        6.094696e+00        
78                  2.504804e-03        6.094696e+00        
79                  2.502534e-03        6.094696e+00        
80                  2.500269e-03        6.094696e+00        
81                  2.498010e-03        6.094696e+00        
82                  2.495757e-03        6.094696e+00        
83                  2.493509e-03        6.094696e+00        
84                  2.491267e-03        6.094696e+00        
85                  2.489031e-03        6.094696e+00        
86                  2.486800e-03        6.094696e+00        
87                  2.484575e-03        6.094696e+00        
88                  2.482355e-03        6.094696e+00        
89                  2.480141e-03        6.094696e+00        
90                  2.477932e-03        6.094696e+00        
91                  2.475729e-03        6.094696e+00        
92                  2.473531e-03        6.094696e+00        
93                  2.471339e-03        6.094696e+00        
94                  2.469151e-03        6.094696e+00        
95                  2.466970e-03        6.094696e+00        
96                  2.464793e-03        6.094696e+00        
97                  2.462622e-03        6.094696e+00        
98                  2.460456e-03        6.094696e+00        
99                  2.458295e-03        6.094696e+00        
